Dirección de Zapopan o Área externa responsable,Teléfonos,Extensiónes telefónicas
Dirección de Inspección y Vigilancia Zapopan,3338182200,"3312, 3313, 3315, 3322, 3324, 3331, 3330, 3342"
Dirección de Agua Potable y Alcantarillado Zapopan,3310022800,"3546, 3576"
Dirección de Alumbrado Público Zapopan,3310022800,3560
Dirección de Aseo Público Zapopan,"3338332862, 3338332837",
Dirección de Atención Ciudadana Zapopan,3338182200,"1210, 1216"
Dirección de Catastro Zapopan,3338182200,"1929, 1930"
Dirección de Comunidad Digna Zapopan,3338182200,2610
Contraloría Ciudadana Zapopan,3338182200,"1000, 1017"
Unidad de Control Forestal Zapopan,3324101000,
COPLADEMUN Zapopan,3338182200,"1300, 1314"
Bomberos Zapopan,3338182200,"3707, 3781, 3790, 3793"
DIF Zapopan,3338363444,
Dirección de Movilidad Zapopan,3310022800,"3522, 3534, 3529"
Dirección de Tianguis y Espacios Abiertos Zapopan,3338182200,"2730, 2734, 2735"
Dirección de Ecología y Medio Ambiente Zapopan,3338182200,3232
Unidad de Jueces Calificadores Zapopan,3338182200,1840
Servicios Municipales Zapopan,3324101000,
Dirección de Mejoramiento Urbano,3338182200,"3302, 3312, 3313"
Dirección de Obras Públicas Zapopan,3338182200,"3001, 3002, 3008"
Dirección de Licencias y Permisos de Construcción Zapopan,3338182200,3007
Dirección de Ordenamiento Territorial Zapopan,3338182200,3147
Dirección de Padrón y Licencias Zapopan,3338182200,"2700, 2701, 2710, 2769"
Dirección de Parques y Jardines Zapopan,"3338332862, 3338332837",
Dirección de Participación Ciudadana Zapopan,3338182200,"4823, 4838"
Dirección de Patrimonio Urbano Zapopan,3338182200,"2082, 2084"
Dirección de Pavimentos Zapopan,3310022800,
Oficialía de Partes de Presidencia Municipal de Zapopan,3338182200,1725
Dirección de Sanidad Animal / Protección Animal Zapopan,3338182200,"3280, 3281"
Protección Civil Zapopan,3338182200,"3778, 3782, 3783, 4701"
Seguridad Publica Zapopan,3338363600,
Secretaría de Ayuntamiento,3338182200,"1601, 1602"
Sindicatura Zapopan,3338182200,1825
Dirección de Transparencia y Buenas Prácticas Zapopan,3338182200,"1230, 1234"
Comisión Estatal del Agua Zapopan,3330309350,
Ciudad Judicial,3337778200,
Comisión Nacional del Agua,3332680200,
Procuraduría de Desarrollo Urbano de Jalisco,3336304618,
PROFECO Delegación Jalisco,3336157383,
PROFEPA Delegación Jalisco,3143329303,
SAGARPA Delegación Jalisco,"3338341485, 3314045142",
Policía Vial Jalisco,"8009991980, 3338192427",
SIAPA,3336682482,
"Centro Público de Mediación Villas de Guadalupe, Zapopan",3338182200,5796
"Centro Público de Mediación Santa Ana Tepetitlán, Zapopan",3338182200,5791
"Centro Público de Mediación Jardines de Nuevo México, Zapopan",3338182200,5795
"Centro Público de Mediación Villas de los Molinos, Zapopan",3338182200,5794
"Centro Público de Mediación Prados Tepeyac, Zapopan",3338182200,5796
"Centro Público de Mediación San Juan de Ocotán, Zapopan",3338182200,5790
Emergencias Zapopan,"3338363600, 911",
Emergencias Jalisco,"3336753060, 040",
Unidad Estatal de Protección Civil y Bomberos Jalisco,3336753060,
Denuncia Escolar Jalisco,8007862729,
